,date,text
31,2023-07-24,"Shoppers Stop reports #Q1 earnings

- Net Profit down 36.4% at Rs 14.5 cr vs Rs 23 cr (YoY)

- Revenue up 4.8% at Rs 993.6 cr vs Rs 948.4 cr (YoY)

- EBITDA up 5.7% at Rs 171.7 cr vs Rs 162.4 cr (YoY)

- Margin at 17.3% vs 12.1% (YoY)"
32,2023-07-24,"Retail investors raise stakes in five #Adani stocks during the June quarter, cut in other five"
33,2023-07-24,#Vedanta confident of meeting $2.7-billion debt maturities in FY24: CFO
34,2023-07-24,#Bankruptcy court admits insolvency plea against #CafeCoffeeDay parent
35,2023-07-24,"#Reliance to invest Rs 378 crore in #MercuryHoldings, a Brookfield-Digital Realty JV"
36,2023-07-24,"Maruti Suzuki recalls 87,599 units of S-Presso, Eeco due to faulty steering tie rod"
37,2023-07-25,"ITC extends decline, down more than 3% after co's board gives in-principal nod for Hotels biz demerger"
38,2023-07-25,"L&T Construction bags orders worth Rs 1,000-2,500 cr for its Power Transmission & Distribution business"
39,2023-07-25,"Sonata Software launches Harmoni. AI, an AI offering for Enterprise scale"
40,2023-07-25,Due to technical reasons the #ticketing service is not available. Our technical team is resolving the issue. We will notify you as soon as the technical issue is fixed: #IRCTC tweets
41,2023-07-25,#TataMotors Q1 Preview: #JLR may save the day for Nifty 50's best performer of 2023
42,2023-07-25,"Jyothy Labs reports #Q1 earnings. 

-Net profit at ₹96.3 cr vs ₹47 cr (YoY)

-Revenue up 15.1% at ₹687.1 cr vs ₹597.2 cr (YoY)

-EBITDA up 96.3% at ₹117.4 cr vs ₹59.8 cr (YoY)

-Margin at 17.1% vs 10% (YoY)"
43,2023-07-25,"KPIT Tech reports #Q1 earnings.

-Net profit up 20% at ₹133.9 cr  vs ₹111.6 cr (QoQ)

-Revenue up 7.9% at ₹1,097.6 cr  vs ₹1,017.3 cr (QoQ)

-EBITDA up 17.4% at ₹213.9 cr  vs ₹182.2 cr (QoQ)

-EBITDA margin at 19.5% vs 17.9% (QoQ)"
44,2023-07-25,"Indoco Remedies Q1  
-Net profit down 37.3% at ₹24.2 cr vs ₹38.6 cr (YoY)
-Revenue up 4.5% at ₹426.5 cr vs ₹408.2 cr (YoY)
-EBITDA down 14.3% at ₹61.2 cr vs ₹71.4 cr (YoY) 
-EBITDA Margin at 14.4% vs 17.5% (YoY)"
45,2023-07-25,"#Chandrayaan3 will make its final orbit-raising manoeuvre today, begin its journey to Moon"
46,2023-07-25,"Aurobindo Pharma arm Eugia Pharma gets US FDA Nod for Plerixafor Injection

Alert: Plerixafor is used in preparation for some autologous stem cell transplants"
47,2023-07-25,"Aurionpro Solutions reports #Q1 earnings

- Net profit up 30.6% at ₹31.6 cr vs ₹24.2 cr (YoY)

- Revenue up 36.6% at ₹198.7 cr vs ₹145.5 cr (YoY)

- EBITDA up 33.4% at ₹43.5 cr vs ₹32.6 cr (YoY)

- EBITDA margin at 21.9% vs 22.4% (YoY)"
48,2023-07-25,"Railway official says IRCTC website is working now, and ticketing has resumed"
49,2023-07-25,"Suzlon Energy Q1

-Adj net profit at ₹101 Cr vs loss of ₹36 Cr (YoY)
-Revenue down 2.2% at ₹1,351 cr vs ₹1,381 cr (YoY)
-EBITDA down 7.4% at ₹199 cr vs ₹215 cr (YoY)
-EBITDA margin at 14.7% vs 15.6% (YoY)"
50,2023-07-25,#Rupee ends at 81.87/$ against Monday’s close of 81.82/$
51,2023-07-25,"1QWithCNBCTV18 | #TataMotors reports #Q1 earnings

JLR revenue at £6.9 bn, up 57% YoY

JLR EBIT margin 8.6%, up 1,300 bps YoY"
52,2023-07-25,"CEAT reports #Q1 earnings. 

-Profit at ₹144.6 cr vs 9.3 cr (YoY)

-Revenue up 4.1% at ₹2,935.2 vs ₹2,818.4 (YoY)

-EBITDA at ₹387.2 cr vs ₹164.8 cr (YoY)

-Margin at 13.2% vs 5.9% (YoY)"
53,2023-07-25,"Delta Corp reports #Q1 earnings

- Net profit up 18.9% at Rs 67.9 cr vs Rs 57 cr (YoY)

- Revenue up 9% at Rs 272.8 cr vs Rs 250.3 cr (YoY)

- EBITDA up 9.5% at Rs 95.8 cr vs Rs 87.5 cr (YoY)

- Margin at 35.1% vs 35% (YoY)"
54,2023-07-25,"#IMF says global economy on track but not out of the woods, raises India’s FY24 growth estimates"
55,2023-07-25,"#SEBI receives 4,085 complaints for violating corporate governance norms in over four years"
56,2023-07-25,#India's projected #population as on July 1 this year is 139 crores: Govt to Lok Sabha
57,2023-07-25,"L&T becomes the second non-IT firm to announce Rs 10,000 crore buyback"
58,2023-07-26,"Indoco Remedies receives EU GMP certification from Malta Health Authority for the Baddi Unit-I facility

Malta health authority inspected Unit-I at Baddi from April 20-24, 2023"
59,2023-07-26,Transformers & Rectifiers bags orders worth Rs 134 Cr
60,2023-07-26,"Macquarie On Life Insurance: 'MARGINS HAVE PEAKED' 

Neutral On HDFC Life, I-Pru Life & SBI Life 
Valuations Not Cheap; Time To Book Gains  

Growth To Be Driven By APE Which Has A Strong Base For H2FY24 

Target Price: 
▪️HDFC Life ₹556
▪️I-Pru Life ₹486
▪️SBI Life ₹1,306"
61,2023-07-26,"Qatar Investment Authority (QIA) seeks stake in #Reliance Inds retail arm, considering $1 billion stake in #RelianceRetail ventures

The company evaluates various opportunities on an ongoing basis: Reliance Retail to CNBC-TV18"
62,2023-07-26,Mahindra Group looking to acquire a strategic stake in @rblbank
63,2023-07-26,#Manipur violence | No-confidence motion against Modi govt accepted in #LokSabha
64,2023-07-26,Motilal Oswal Financial Services to consider internal restructuring between group entities
65,2023-07-26,"Indian Metals & Ferro Alloys reports #Q1 earnings. 

-Net profit down 17.7% at ₹110.4 cr vs ₹134 cr (YoY)

-Revenue down 5.6% at ₹701.7 cr vs ₹743.4 cr (YoY)

-EBITDA down 20.3% at ₹173.6 cr vs ₹217.8 cr (YoY)

-EBITDA margin at 24.7% vs 29.3% (YoY)"
66,2023-07-26,"Rane Madras reports #Q1 earnings

▶️Net loss at ₹14.5 cr vs loss of ₹3.3 cr (YoY)
▶️Revenue up 7.1% at ₹588.3 cr vs ₹549.3 cr (YoY)
▶️EBITDA up 45.7% at ₹42.4 cr vs ₹29.1 cr (YoY)
▶️EBITDA margin at 7.2% vs 5.3% (YoY)

▶️One-time loss at ₹19 cr
▶️Adjusted profit at ₹5 cr vs loss of ₹3.3 cr (YoY)"
67,2023-07-26,"Punjab National Bank reports #Q1 earnings. 

▶️Net profit at ₹1,255.4 cr vs ₹308.4 cr (YoY)
▶️NII up 26% at ₹9,504.3 cr vs ₹7,542.8 cr (YoY)

▶️Gross NPA at 7.73% vs 8.74% (QoQ)
▶️Net NPA at 1.98% vs 2.72% (QoQ)
▶️Gross NPA at ₹70,899.3 cr vs ₹77,327.7 cr (QoQ)
▶️Net NPA at ₹17,129.5 cr vs ₹22,585 cr (QoQ)"
68,2023-07-26,"TeamLease reports #Q1 earnings

- Net Profit down 0.4% at ₹26.4 cr vs ₹26.5 cr (YoY)

- Revenue up 15.5% at ₹2,171.6 cr vs ₹1,879.4 cr (YoY)

- EBITDA (GU)4.2% At ₹26.3 Cr Vs ₹25.3 Cr (YoY)

- EBITDA Margin At 1.2% Vs 1.3% (YoY)"
69,2023-07-26,"GSK Pharma reports #Q1 earnings

- Net profit up 10.8% at ₹132.2 cr vs ₹119.3 cr (YoY)

- Revenue up 2.2% at ₹761.6 cr vs ₹745 cr (YoY)

- EBITDA down 3.3% at ₹143.9 cr vs ₹148.8 cr (YoY)

- EBITDA margin at 18.9% vs 20% (YoY)"
70,2023-07-26,"Aether Industries reports #Q1 earnings

- Net profit down 2.5% at ₹29.8 cr vs ₹30.6 cr (YoY)

- Revenue down 0.7% at ₹161.1 cr vs ₹160 cr (YoY)

- EBITDA up 5.4% at ₹44.7 cr vs ₹42.4 cr (YoY)

- EBITDA margin at 27.7% vs 26.5% (YoY)"
71,2023-07-26,"#KajariaCeramics reports #Q1 earnings

- Net profit up 16.5% at ₹107.5 cr vs ₹92.3 cr (YoY)

- Revenue up 5.6% at ₹1,064.2 cr vs ₹1,008.2 cr (YoY)

- EBITDA up 10.3% at ₹169 cr vs ₹153.2 cr (YoY)

- EBITDA margin at 15.8% vs 15.2% (YoY)"
72,2023-07-26,"We are in receipt of the information from the OEM Pratt and Whitney(P&W) regarding the outcome of the latest inspection of their engine. 

Working closely with P&W to assess and minimise any potential impact on our fleet

@IndiGo6E on P&W A321neo engine recall"
73,2023-07-26,"Deepak Fert reports #Q1 earnings. 

▶️Net profit down 74.6% at ₹110 cr vs ₹433.9 cr (YoY)
▶️Revenue down 23.7% at ₹2,313 cr vs ₹3,031.1 cr (YoY)
▶️EBITDA down 62.1% at ₹280.5 cr vs ₹740.5 cr (YoY)
▶️EBITDA margin at 12.1% vs 24.4% (YoY)"
74,2023-07-26,"Praj Ind reports #Q1 numbers

▶️Net profit up 42.2% at ₹58.6 cr vs ₹41.2 cr (YoY)
▶️Revenue up 0.7% at ₹763.7 cr vs ₹731.9 cr (YoY)
▶️EBITDA up 35.4% at ₹75.4 cr vs ₹55.7 cr (YoY)
▶️EBITDA margin at 10.2% vs 7.6% (YoY)"
75,2023-07-26,"Bajaj Finance reports #Q1 earnings.

Loan losses & provisions up 31.8% at ₹995 cr vs ₹755 cr (YoY)

AUM up 32% at ₹2.7 lakh cr vs ₹2.04 lakh cr (YoY)"
76,2023-07-26,"Jubilant Ingrevia reports #Q1 earnings. 

▶️Net profit down 35% at ₹51.6 cr vs ₹79 cr (YoY)
▶️Revenue down 7.8% at ₹1,075 cr vs ₹1,165.8 cr (YoY)
▶️EBITDA down 17.2% at ₹116.7 cr vs ₹141 cr (YoY)
▶️EBITDA margin at 11% vs 12% (YoY)"
77,2023-07-26,"Novartis reports #Q1 earnings

- Net Profit down 61.4% At ₹20.2 Cr Vs ₹52Cr (YoY)

- Revenue down 25.1% At ₹90.6 Cr Vs ₹120.9 Cr (YoY)

- EBITDA down 45.9% At ₹17.2 Cr vs ₹31.8 Cr (YoY)

- EBITDA Margin At 19.0% Vs 26.3% (YoY)"
78,2023-07-26,"Syngene reports Q1 earnings

- Net profit up 26.4% at Rs 93.4 Cr vs Rs 74 cr (YoY)

- Revenue up 25.4% at Rs 808.1 cr vs Rs 644.5 cr (YoY)

- EBITDA up 22.6% at Rs 212 cr vs Rs 173 cr (YoY)

- EBITDA margin at 26.2% vs 26.8% (YoY)"
79,2023-07-26,#Rupee ends at 82/$ against Tuesday’s close of 81.87/$
80,2023-07-26,"Ion Exchange reports #Q1 earnings. 

▶️Net profit up 18.9% at ₹33.3 cr vs ₹28 cr (YoY)
▶️Revenue up 25.3% at ₹479.2 cr vs ₹381.4 cr (YoY)
▶️EBITDA up 48.3% at ₹48.8 cr vs ₹32.9 cr (YoY)
▶️Margin at 10.2% vs 8.6% (YoY)"
81,2023-07-26,"Government announces #OFS for #RVNL, to sell up to 5.36% #stake"
82,2023-07-27,"Kalpataru Projects International bags orders worth ₹2,261 cr: Kalpataru Power says"
83,2023-07-27,M&M down more than 5% after co replies to newsbreak to  acquire 3.53% stake in RBL Bank
84,2023-07-27,"Cipla up more than 7%, top Nifty gainer after co raises margin guidance to 23.5% from 23%"
85,2023-07-27,"RVNL down more than 3% after govt announces OFS, to sell 5.36% stake in co"
86,2023-07-27,"M&M sees biggest single-day drop since February 2022, erases market cap of more than Rs 11,300 cr after co announces acquisition of stake In RBL Bank"
87,2023-07-27,"NTPC says, the second unit of 660 MW capacity of Barh Super Thermal Power Station, Stage-I (3x660 MW) is declared commercially operational w.e.f Aug 1"
88,2023-07-27,Zydus Life JV partner signs agreement to amend certain clauses of JVA with Bayer SE Asia
89,2023-07-27,"Bajaj Finserv reports #Q1 earnings. 

▶️Net profit up 48.4% at ₹1,942.6 cr vs ₹1,309 cr (YoY)
▶️Revenue up 46.5% at ₹23,280 cr vs ₹15,888.3 cr (YoY)"
90,2023-07-27,Fedbank Financial Services files DRHP for IPO with SEBI. FedFina to raise up to ₹750 cr via fresh issue with an OFS of up to 7.03 cr shares
91,2023-07-27,"CG Power reports #Q1 earnings. 

▶️Net profit up 57% at ₹203.7 cr vs ₹130 cr (YoY)
▶️Revenue up 14.1% at ₹1,874 cr vs ₹1,642.7 cr (YoY)
▶️EBITDA up 42.2% at ₹265.4 cr vs ₹186.4 cr (YoY)
▶️EBITDA margin at 14.2% vs 11.3% (YoY)"
92,2023-07-27,"Shree Digvijay Cement reports #Q1 earnings.

▶️Net profit flat at ₹17.2 cr vs ₹17.1 cr (YoY)
▶️Revenue up 19.7% at ₹192.9 cr vs ₹161.2 cr (YoY)
▶️EBITDA down 1.3% at ₹30.6 cr vs ₹31 cr (YoY)
▶️EBITDA margin at 15.9% vs 19.2% (YoY)"
93,2023-07-27,"PSP Projects reports #Q1 earnings. 

▶️Net profit up 30.3% at  ₹37.8 cr vs ₹29 cr (YoY)
▶️Revenue up 47.6% at ₹513.6 cr  vs ₹348 cr (YoY)
▶️EBITDA up 38.3% at ₹66.1 cr  vs ₹47.8 cr (YoY)
▶️EBITDA margin at 12.9% vs 13.7% (YoY)"
94,2023-07-27,#RITES signs MoU with IRFC to identify mutual areas of collaboration
95,2023-07-27,"#Birlasoft reports #Q1 earnings. 

▶️Net profit up 22.5% at ₹137.5 cr vs ₹112.2 cr (QoQ)
▶️Revenue up 3% at ₹1,262.7 cr vs ₹1,226.3 cr (QoQ)
▶️EBIT up 17.7% at ₹171.7 cr vs ₹145.9 cr (QoQ)
▶️EBIT margin at 13.6% vs 11.9% (QoQ)"
96,2023-07-27,"Ujjivan SFB reports #Q1 earnings. 

▶️Net profit up 59.7% at  ₹324.1 cr vs ₹203 cr (YoY)
▶️NII up 32.1% at ₹792.4 cr vs ₹599.7 cr (YoY)

▶️Gross NPA at 2.62% vs 2.88% (QoQ)
▶️Net NPA at 0.06% vs 0.04% (QoQ)
▶️Gross NPA at ₹596.5 cr  vs ₹630.6 cr (QoQ)
▶️Net NPA at ₹12.6 cr vs ₹9.0 cr (QoQ)"
97,2023-07-27,"Shriram Finance reports #Q1 earnings. 

Cons net profit up 26.2% at  ₹1,705.2 cr vs ₹1,351 cr (YoY)
Cons revenue up 16.2% at ₹8,287.4 cr vs ₹7,133.1 cr (YoY)"
98,2023-07-28,"#AMD to invest $400 m in India to set up its largest design centre, plans to hire 3,000 more engineers"
99,2023-07-28,"#JustIN | PVR Inox opens a 5-screen multiplex at Plutone Mall, Rourkela, Odisha"
100,2023-07-28,"#Micron investment to create 5,000 direct jobs, says CEO Sanjay Mehrotra"
101,2023-07-28,"LT Foods reports #Q1 earnings. 

▶️Net profit up 53.2% at  ₹137.4 cr vs ₹89.7 cr (YoY)
▶️Revenue up 10.4% at ₹1,778.1 cr  vs ₹1,611.1 cr (YoY)
▶️EBITDA up 28% at ₹213.6 cr  vs ₹166.9 cr (YoY)
▶️EBITDA margin at 12% vs 10.4% (YoY)"
102,2023-07-28,"Anup Engg reports #Q1 numbers

▶️Net profit at ₹18.6 cr vs ₹5 cr (YoY)
▶️Revenue at ₹125.2 cr vs ₹51.8 cr (YoY)
▶️EBITDA at ₹28 cr vs ₹2.9 cr (YoY)
▶️EBITDA margin at 22.4% vs 18.1% (YoY)"
103,2023-07-28,"1QWithCNBCTV18 | Apar Ind Q1

-Net Profit up 61.1% at  ₹197.4 cr vs ₹123 cr (YoY)
-Revenue up 22% at ₹3,773 cr vs ₹3,093.2 cr (YoY)
-EBITDA up 46% at ₹346.1 cr vs ₹237.3 cr (YoY)
-EBITDA Margin at 9.2% vs 7.7% (YoY)"
104,2023-07-28,.@Disney's plan comes just as streaming rival @netflix in May started telling subscribers in more than 100 countries they will need to pay more to share the service with people outside their households
105,2023-07-28,"Indiabulls Housing board approves raising up to ₹35,000 cr via issue of NCDs and/or bonds

Board approves final dividend of ₹1.25/sh for FY23"
106,2023-07-28,"Panama Petro reports Q1 earnings (Standalone)

▶️Net profit down 10.5% at ₹30.7 cr vs ₹34 cr (QoQ)
▶️Revenue up 6.1% at ₹399.1 cr vs ₹376 cr (QoQ)
▶️EBITDA down 8.8% at ₹44.3 cr vs ₹48.6 cr (QoQ)
▶️EBITDA margin at 11.1% vs 12.9% (QoQ)"
107,2023-07-28,"Motilal Oswal and Raamdeo Agarawal, promoters of Motilal Oswal Financial Services Ltd, will both donate 5% stake in the company, aggregating to 10% of total paid-up share capital of the company, for charitable purposes"
108,2023-07-28,"Supreme Industries reports #Q1 earnings. 

▶️Net profit up 1.3% at  ₹216.5 cr vs ₹214 cr (YoY)
▶️Revenue up 7.4% at  ₹2,368.6 cr vs ₹2,206 cr (YoY)
▶️EBITDA up 19.6% at  ₹321.6 cr vs ₹269 cr (YoY)
▶️EBITDA margin at 13.6% vs 12.2% (YoY)"
109,2023-07-28,"#SwarajEngines reports #Q1 earnings

- Net Profit up 3.5% at ₹40.9 cr vs ₹40 cr (YoY)

- Revenue up 0.4% at ₹399.8 cr vs ₹398.3 cr (YoY)

- EBITDA (GU)0.6% At `55.1 Cr Vs `54.8 Cr (YoY)

- EBITDA Margin Flat At 13.8%"
110,2023-07-28,"#ExideIndustries reports #Q1 earnings

- Net Profit up 10.7% at ₹224.1 cr vs ₹202 cr (YoY)

- Revenue up 5.6% at ₹4,245.5 cr vs ₹4,021.7 cr (YoY)

- EBITDA up 13.1% at ₹438.1 cr vs ₹387.3 cr (YoY)

- EBITDA margin at 10.3% vs 9.6% (YoY)"
111,2023-07-28,"#MothersonWiring reports #Q1 earnings

- Net profit down 2.3% at ₹123.1 cr vs ₹126 cr (YoY)

- Revenue up 11.2% at ₹1,858.8 cr vs ₹1,670.9 cr (YoY)

- EBITDA down 4.3% at ₹194 cr vs ₹202.8 cr (YoY)

- EBITDA margin at 10.4% vs 12.1% (YoY)"
112,2023-07-28,"RVNL bags #order worth ₹1,088 crore from Haryana Rail Infra Development"
113,2023-07-28,"HT Media reports #Q1 earnings

- Net loss at ₹18.4 cr vs ₹34.5 cr loss (YoY)

- Revenue down 6.4% at ₹393.4 cr vs ₹420.1 cr (YoY)

- EBITDA loss at ₹24.9 cr vs EBITDA loss of ₹29.4 cr (YoY)"
114,2023-07-28,"#MarketAtClose | Indiabulls Hsg Fin up more than 6% after bd approves fund raise of up to Rs 35,000 cr

Marico rises more than 3% ahead of Q1 results

Market breadth favours declines, advance-decline ratio at 1"
115,2023-07-28,"RailTel falls more than 5% despite reporting strong Q1 earnings

BEL rises more than 2% on strong Q1 results

Intellect Design snaps 7-day losing streak, surges 20% post Q1 results

Ajanta Pharma ends 3% higher but off highs following Q1 results"
116,2023-07-28,"#Market closes largely lower, financials remain a major drag

Midcap Index outperforms for 2nd straight day, ends 0.3% higher

#Sensex falls 277 points to 65,989 & #Nifty 13 points to 19,646

#NiftyBank falls 211 points to 45,468 & Midcap Index rises 205 pts to 37,357

IT stocks end lower, TCS, HCL Tech top Nifty losers"
117,2023-07-28,#Starbucks beats trade-secret #lawsuit over 'S'mores Frappuccino' lip gloss
118,2023-07-28,"SBI Card reports #Q1 earnings. 

▶️Net profit down 5.4% at ₹593.3 cr vs ₹626.9 cr (YoY)
▶️Revenue up 26.2% at ₹3,911.9 cr vs ₹3,100.3 cr (YoY)"
119,2023-07-28,"Laxmi Organic Industries reports #Q1 earnings. 

▶️Net profit down 40.5% at ₹38.3 cr vs ₹64.4 cr (YoY)
▶️Revenue down 3% at ₹733.6 cr vs ₹756.6 cr (YoY)
▶️EBITDA down 23% at ₹77.2 cr vs ₹100.3 cr (YoY)
▶️Margin at 10.5% vs 13.3% (YoY)"
120,2023-07-28,"Bank Of India reports #Q1 earnings. 

▶️Net profit at ₹1,551.1 cr vs ₹562 cr (YoY)
▶️NII up 45.2% at ₹5,914 cr vs ₹4,072.4 cr (YoY)

▶️Gross NPA at 6.67% vs 7.31% (QoQ)
▶️Net NPA at 1.65% vs 1.66% (QoQ)
▶️Gross NPA at ₹ 34,582 cr vs ₹ 37,685.56 cr (QoQ)
▶️Net NPA at ₹8118.7 cr vs ₹8053.6 cr (QoQ)"
121,2023-07-28,"Hero MotoCorp to close Harley-Davidson online booking window on August 3, 2023"
122,2023-07-28,"ChaletHotels reports #Q1 earnings

- Net profit at Rs 88.7 cr vs Rs 29 cr (YoY)

- Revenue up 22.8% at Rs 310.8 cr vs Rs 253 cr (YoY)"
123,2023-07-29,"DCB Bank reports #Q1 earnings. 

▶️Net profit up 30.6% at ₹126.9 cr vs ₹97 cr (YoY)
▶️NII up 24.9% at ₹470.7 cr vs ₹374 cr (YoY)

▶️Gross NPA at 3.26% vs 3.19% (QoQ)
▶️Net NPA at 1.19% vs 1.04% (QoQ)
▶️Gross NPA at ₹1,181.4 cr vs ₹1,122.8 cr (QoQ)
▶️Net NPA at ₹423.9 cr vs ₹356.9 cr (QoQ)"
124,2023-07-29,"Star Health reports #Q1 earnings. 

▶️Net profit up 35% at ₹287.9 cr vs  ₹213.2 cr (YoY)
▶️Gross Premium Written up 19.7% at ₹2,948.6 cr vs ₹2,463.7 cr (YoY)
▶️Net Premium Earned up 13.3% at ₹3,043.8 cr vs 2,687.1 cr (YoY)
▶️Combined ratio at 97.81% vs 91.35% QoQ & vs 98.24% YoY"
125,2023-07-29,"Nazara Tech reports #Q1 earnings. 

▶️Net profit up 72.6% at ₹19.5 cr vs ₹11 cr (YoY)
▶️Revenue up 14% at ₹254.4 cr vs ₹223.1 cr (YoY)
▶️EBITDA up 10% at ₹33 cr vs ₹30 cr (YoY)
▶️Margin at 13% vs 13.5% cr (YoY)"
126,2023-07-29,"Arm MTPL Singapore gets default notices of $11.5 m from 3 banks including #IOB, #UCOBank, #BankOfIndia"
127,2023-07-29,PowerGrid has been declared the successful bidder for two inter-state transmission system projects
128,2023-07-29,"NLC India reports #Q1 earnings. 

▶️Net profit down 28% at ₹404.7 cr vs ₹561.8 cr (YoY)
▶️Revenue down 14.1% at ₹3,316.5 cr vs ₹3,862.9 cr (YoY)
▶️EBITDA down 24.4% at ₹1,194.2 cr vs ₹1,580 cr (YoY)
▶️Margin at 36% vs 40.9% (YoY)"
