,date,headlines,ticker,company
23,2023-07-24,"Spandana Sphoorty reports #Q1 earnings. 

-Net profit at ₹119.5 cr vs loss of ₹219.8 cr (YoY)

-NII at ₹312.2 cr vs ₹153.5 cr (YoY)",Spandana Sphoorty Financial Limited,BE
24,2023-07-24,Wipro partners with Pure Storage to drive sustainable technology in data storage and data centers,Wipro Limited,EQ
26,2023-07-24,"#SJVN | Arunachal Pradesh #government allocates 5 hydro projects of 5,097 MW to the company. The #projects will be developed at an investment of more than ₹50,000 crore

🔴 The five hydro projects are 3,097 MW Etalin, 680 MW Attunli, 500 MW Emini, 420 MWAmulin & 400 MW Mihumdon",The Andhra Sugars Limited,EQ
27,2023-07-24,"#Maruti recalls 87,599 vehicles (S-Presso & Eeco) manufactured between July 5, 2021 and Feb 15, 2023 due to possible defect in a part of steering tie rod

▶️Co says affected vehicle owners will be receiving communication from Maruti Suzuki authorized dealer workshops for inspection and replacement of the faulty part, free of cost.",Maruti Suzuki India Limited,EQ
28,2023-07-24,"Tamil Nadu’s #WomenEmpowerment schemes aimed at employment, entrepreneurship: PT Rajan",Tamil Nadu Newsprint & Papers Limited,EQ
31,2023-07-24,"Shoppers Stop reports #Q1 earnings

- Net Profit down 36.4% at Rs 14.5 cr vs Rs 23 cr (YoY)

- Revenue up 4.8% at Rs 993.6 cr vs Rs 948.4 cr (YoY)

- EBITDA up 5.7% at Rs 171.7 cr vs Rs 162.4 cr (YoY)

- Margin at 17.3% vs 12.1% (YoY)",Shoppers Stop Limited,EQ
36,2023-07-24,"Maruti Suzuki recalls 87,599 units of S-Presso, Eeco due to faulty steering tie rod",Maruti Suzuki India Limited,EQ
37,2023-07-25,"ITC extends decline, down more than 3% after co's board gives in-principal nod for Hotels biz demerger",ITC,ITC Limited
38,2023-07-25,"L&T Construction bags orders worth Rs 1,000-2,500 cr for its Power Transmission & Distribution business",L&T Finance Holdings Limited,EQ
39,2023-07-25,"Sonata Software launches Harmoni. AI, an AI offering for Enterprise scale",Sonata Software Limited,EQ
42,2023-07-25,"Jyothy Labs reports #Q1 earnings. 

-Net profit at ₹96.3 cr vs ₹47 cr (YoY)

-Revenue up 15.1% at ₹687.1 cr vs ₹597.2 cr (YoY)

-EBITDA up 96.3% at ₹117.4 cr vs ₹59.8 cr (YoY)

-Margin at 17.1% vs 10% (YoY)",Jyothy Labs Limited,EQ
43,2023-07-25,"KPIT Tech reports #Q1 earnings.

-Net profit up 20% at ₹133.9 cr  vs ₹111.6 cr (QoQ)

-Revenue up 7.9% at ₹1,097.6 cr  vs ₹1,017.3 cr (QoQ)

-EBITDA up 17.4% at ₹213.9 cr  vs ₹182.2 cr (QoQ)

-EBITDA margin at 19.5% vs 17.9% (QoQ)",KPIT Technologies Limited,EQ
44,2023-07-25,"Indoco Remedies Q1  
-Net profit down 37.3% at ₹24.2 cr vs ₹38.6 cr (YoY)
-Revenue up 4.5% at ₹426.5 cr vs ₹408.2 cr (YoY)
-EBITDA down 14.3% at ₹61.2 cr vs ₹71.4 cr (YoY) 
-EBITDA Margin at 14.4% vs 17.5% (YoY)",Indoco Remedies Limited,EQ
46,2023-07-25,"Aurobindo Pharma arm Eugia Pharma gets US FDA Nod for Plerixafor Injection

Alert: Plerixafor is used in preparation for some autologous stem cell transplants",Aurobindo Pharma Limited,EQ
47,2023-07-25,"Aurionpro Solutions reports #Q1 earnings

- Net profit up 30.6% at ₹31.6 cr vs ₹24.2 cr (YoY)

- Revenue up 36.6% at ₹198.7 cr vs ₹145.5 cr (YoY)

- EBITDA up 33.4% at ₹43.5 cr vs ₹32.6 cr (YoY)

- EBITDA margin at 21.9% vs 22.4% (YoY)",Aurionpro Solutions Limited,EQ
48,2023-07-25,"Railway official says IRCTC website is working now, and ticketing has resumed",IRCTC,Indian Railway Catering And Tourism Corporation Limited
49,2023-07-25,"Suzlon Energy Q1

-Adj net profit at ₹101 Cr vs loss of ₹36 Cr (YoY)
-Revenue down 2.2% at ₹1,351 cr vs ₹1,381 cr (YoY)
-EBITDA down 7.4% at ₹199 cr vs ₹215 cr (YoY)
-EBITDA margin at 14.7% vs 15.6% (YoY)",Energy Development Company Limited,EQ
52,2023-07-25,"CEAT reports #Q1 earnings. 

-Profit at ₹144.6 cr vs 9.3 cr (YoY)

-Revenue up 4.1% at ₹2,935.2 vs ₹2,818.4 (YoY)

-EBITDA at ₹387.2 cr vs ₹164.8 cr (YoY)

-Margin at 13.2% vs 5.9% (YoY)",CEAT Limited,EQ
53,2023-07-25,"Delta Corp reports #Q1 earnings

- Net profit up 18.9% at Rs 67.9 cr vs Rs 57 cr (YoY)

- Revenue up 9% at Rs 272.8 cr vs Rs 250.3 cr (YoY)

- EBITDA up 9.5% at Rs 95.8 cr vs Rs 87.5 cr (YoY)

- Margin at 35.1% vs 35% (YoY)",Delta Corp Limited,EQ
57,2023-07-25,"L&T becomes the second non-IT firm to announce Rs 10,000 crore buyback",L&T Finance Holdings Limited,EQ
58,2023-07-26,"Indoco Remedies receives EU GMP certification from Malta Health Authority for the Baddi Unit-I facility

Malta health authority inspected Unit-I at Baddi from April 20-24, 2023",Indoco Remedies Limited,EQ
59,2023-07-26,Transformers & Rectifiers bags orders worth Rs 134 Cr,Transformers And Rectifiers (India) Limited,EQ
60,2023-07-26,"Macquarie On Life Insurance: 'MARGINS HAVE PEAKED' 

Neutral On HDFC Life, I-Pru Life & SBI Life 
Valuations Not Cheap; Time To Book Gains  

Growth To Be Driven By APE Which Has A Strong Base For H2FY24 

Target Price: 
▪️HDFC Life ₹556
▪️I-Pru Life ₹486
▪️SBI Life ₹1,306",HDFC Bank Limited,EQ
61,2023-07-26,"Qatar Investment Authority (QIA) seeks stake in #Reliance Inds retail arm, considering $1 billion stake in #RelianceRetail ventures

The company evaluates various opportunities on an ongoing basis: Reliance Retail to CNBC-TV18",The Andhra Sugars Limited,EQ
62,2023-07-26,Mahindra Group looking to acquire a strategic stake in @rblbank,Mahindra & Mahindra Limited,EQ
63,2023-07-26,#Manipur violence | No-confidence motion against Modi govt accepted in #LokSabha,Modi Rubber Limited,BE
64,2023-07-26,Motilal Oswal Financial Services to consider internal restructuring between group entities,Oswal Chemicals & Fertilizers Limited,EQ
65,2023-07-26,"Indian Metals & Ferro Alloys reports #Q1 earnings. 

-Net profit down 17.7% at ₹110.4 cr vs ₹134 cr (YoY)

-Revenue down 5.6% at ₹701.7 cr vs ₹743.4 cr (YoY)

-EBITDA down 20.3% at ₹173.6 cr vs ₹217.8 cr (YoY)

-EBITDA margin at 24.7% vs 29.3% (YoY)",Indian Energy Exchange Limited,EQ
66,2023-07-26,"Rane Madras reports #Q1 earnings

▶️Net loss at ₹14.5 cr vs loss of ₹3.3 cr (YoY)
▶️Revenue up 7.1% at ₹588.3 cr vs ₹549.3 cr (YoY)
▶️EBITDA up 45.7% at ₹42.4 cr vs ₹29.1 cr (YoY)
▶️EBITDA margin at 7.2% vs 5.3% (YoY)

▶️One-time loss at ₹19 cr
▶️Adjusted profit at ₹5 cr vs loss of ₹3.3 cr (YoY)",Madras Fertilizers Limited,EQ
67,2023-07-26,"Punjab National Bank reports #Q1 earnings. 

▶️Net profit at ₹1,255.4 cr vs ₹308.4 cr (YoY)
▶️NII up 26% at ₹9,504.3 cr vs ₹7,542.8 cr (YoY)

▶️Gross NPA at 7.73% vs 8.74% (QoQ)
▶️Net NPA at 1.98% vs 2.72% (QoQ)
▶️Gross NPA at ₹70,899.3 cr vs ₹77,327.7 cr (QoQ)
▶️Net NPA at ₹17,129.5 cr vs ₹22,585 cr (QoQ)",National Aluminium Company Limited,EQ
70,2023-07-26,"Aether Industries reports #Q1 earnings

- Net profit down 2.5% at ₹29.8 cr vs ₹30.6 cr (YoY)

- Revenue down 0.7% at ₹161.1 cr vs ₹160 cr (YoY)

- EBITDA up 5.4% at ₹44.7 cr vs ₹42.4 cr (YoY)

- EBITDA margin at 27.7% vs 26.5% (YoY)",Aether Industries Limited,EQ
73,2023-07-26,"Deepak Fert reports #Q1 earnings. 

▶️Net profit down 74.6% at ₹110 cr vs ₹433.9 cr (YoY)
▶️Revenue down 23.7% at ₹2,313 cr vs ₹3,031.1 cr (YoY)
▶️EBITDA down 62.1% at ₹280.5 cr vs ₹740.5 cr (YoY)
▶️EBITDA margin at 12.1% vs 24.4% (YoY)",Deepak Fertilizers and Petrochemicals Corporation Limited,EQ
74,2023-07-26,"Praj Ind reports #Q1 numbers

▶️Net profit up 42.2% at ₹58.6 cr vs ₹41.2 cr (YoY)
▶️Revenue up 0.7% at ₹763.7 cr vs ₹731.9 cr (YoY)
▶️EBITDA up 35.4% at ₹75.4 cr vs ₹55.7 cr (YoY)
▶️EBITDA margin at 10.2% vs 7.6% (YoY)",Praj Industries Limited,EQ
75,2023-07-26,"Bajaj Finance reports #Q1 earnings.

Loan losses & provisions up 31.8% at ₹995 cr vs ₹755 cr (YoY)

AUM up 32% at ₹2.7 lakh cr vs ₹2.04 lakh cr (YoY)",Bajaj Auto Limited,EQ
76,2023-07-26,"Jubilant Ingrevia reports #Q1 earnings. 

▶️Net profit down 35% at ₹51.6 cr vs ₹79 cr (YoY)
▶️Revenue down 7.8% at ₹1,075 cr vs ₹1,165.8 cr (YoY)
▶️EBITDA down 17.2% at ₹116.7 cr vs ₹141 cr (YoY)
▶️EBITDA margin at 11% vs 12% (YoY)",Jubilant Foodworks Limited,EQ
77,2023-07-26,"Novartis reports #Q1 earnings

- Net Profit down 61.4% At ₹20.2 Cr Vs ₹52Cr (YoY)

- Revenue down 25.1% At ₹90.6 Cr Vs ₹120.9 Cr (YoY)

- EBITDA down 45.9% At ₹17.2 Cr vs ₹31.8 Cr (YoY)

- EBITDA Margin At 19.0% Vs 26.3% (YoY)",Novartis India Limited,EQ
78,2023-07-26,"Syngene reports Q1 earnings

- Net profit up 26.4% at Rs 93.4 Cr vs Rs 74 cr (YoY)

- Revenue up 25.4% at Rs 808.1 cr vs Rs 644.5 cr (YoY)

- EBITDA up 22.6% at Rs 212 cr vs Rs 173 cr (YoY)

- EBITDA margin at 26.2% vs 26.8% (YoY)",Syngene International Limited,EQ
82,2023-07-27,"Kalpataru Projects International bags orders worth ₹2,261 cr: Kalpataru Power says",International Conveyors Limited,EQ
83,2023-07-27,M&M down more than 5% after co replies to newsbreak to  acquire 3.53% stake in RBL Bank,M&M,Mahindra & Mahindra Limited
84,2023-07-27,"Cipla up more than 7%, top Nifty gainer after co raises margin guidance to 23.5% from 23%",Cipla Limited,EQ
85,2023-07-27,"RVNL down more than 3% after govt announces OFS, to sell 5.36% stake in co",RVNL,Rail Vikas Nigam Limited
86,2023-07-27,"M&M sees biggest single-day drop since February 2022, erases market cap of more than Rs 11,300 cr after co announces acquisition of stake In RBL Bank",M&M,Mahindra & Mahindra Limited
87,2023-07-27,"NTPC says, the second unit of 660 MW capacity of Barh Super Thermal Power Station, Stage-I (3x660 MW) is declared commercially operational w.e.f Aug 1",NTPC,NTPC Limited
88,2023-07-27,Zydus Life JV partner signs agreement to amend certain clauses of JVA with Bayer SE Asia,Bayer Cropscience Limited,EQ
89,2023-07-27,"Bajaj Finserv reports #Q1 earnings. 

▶️Net profit up 48.4% at ₹1,942.6 cr vs ₹1,309 cr (YoY)
▶️Revenue up 46.5% at ₹23,280 cr vs ₹15,888.3 cr (YoY)",Bajaj Auto Limited,EQ
91,2023-07-27,"CG Power reports #Q1 earnings. 

▶️Net profit up 57% at ₹203.7 cr vs ₹130 cr (YoY)
▶️Revenue up 14.1% at ₹1,874 cr vs ₹1,642.7 cr (YoY)
▶️EBITDA up 42.2% at ₹265.4 cr vs ₹186.4 cr (YoY)
▶️EBITDA margin at 14.2% vs 11.3% (YoY)",CG Power and Industrial Solutions Limited,EQ
92,2023-07-27,"Shree Digvijay Cement reports #Q1 earnings.

▶️Net profit flat at ₹17.2 cr vs ₹17.1 cr (YoY)
▶️Revenue up 19.7% at ₹192.9 cr vs ₹161.2 cr (YoY)
▶️EBITDA down 1.3% at ₹30.6 cr vs ₹31 cr (YoY)
▶️EBITDA margin at 15.9% vs 19.2% (YoY)",Shree Rama Newsprint Limited,EQ
93,2023-07-27,"PSP Projects reports #Q1 earnings. 

▶️Net profit up 30.3% at  ₹37.8 cr vs ₹29 cr (YoY)
▶️Revenue up 47.6% at ₹513.6 cr  vs ₹348 cr (YoY)
▶️EBITDA up 38.3% at ₹66.1 cr  vs ₹47.8 cr (YoY)
▶️EBITDA margin at 12.9% vs 13.7% (YoY)",PSP Projects Limited,EQ
94,2023-07-27,#RITES signs MoU with IRFC to identify mutual areas of collaboration,IRFC,Indian Railway Finance Corporation Limited
96,2023-07-27,"Ujjivan SFB reports #Q1 earnings. 

▶️Net profit up 59.7% at  ₹324.1 cr vs ₹203 cr (YoY)
▶️NII up 32.1% at ₹792.4 cr vs ₹599.7 cr (YoY)

▶️Gross NPA at 2.62% vs 2.88% (QoQ)
▶️Net NPA at 0.06% vs 0.04% (QoQ)
▶️Gross NPA at ₹596.5 cr  vs ₹630.6 cr (QoQ)
▶️Net NPA at ₹12.6 cr vs ₹9.0 cr (QoQ)",Ujjivan Financial Services Limited,EQ
97,2023-07-27,"Shriram Finance reports #Q1 earnings. 

Cons net profit up 26.2% at  ₹1,705.2 cr vs ₹1,351 cr (YoY)
Cons revenue up 16.2% at ₹8,287.4 cr vs ₹7,133.1 cr (YoY)",Shriram Pistons & Rings Limited,BE
98,2023-07-28,"#AMD to invest $400 m in India to set up its largest design centre, plans to hire 3,000 more engineers",Bank of India,EQ
99,2023-07-28,"#JustIN | PVR Inox opens a 5-screen multiplex at Plutone Mall, Rourkela, Odisha",PVR,PVR Limited
101,2023-07-28,"LT Foods reports #Q1 earnings. 

▶️Net profit up 53.2% at  ₹137.4 cr vs ₹89.7 cr (YoY)
▶️Revenue up 10.4% at ₹1,778.1 cr  vs ₹1,611.1 cr (YoY)
▶️EBITDA up 28% at ₹213.6 cr  vs ₹166.9 cr (YoY)
▶️EBITDA margin at 12% vs 10.4% (YoY)",LT,Larsen & Toubro Limited
103,2023-07-28,"1QWithCNBCTV18 | Apar Ind Q1

-Net Profit up 61.1% at  ₹197.4 cr vs ₹123 cr (YoY)
-Revenue up 22% at ₹3,773 cr vs ₹3,093.2 cr (YoY)
-EBITDA up 46% at ₹346.1 cr vs ₹237.3 cr (YoY)
-EBITDA Margin at 9.2% vs 7.7% (YoY)",Apar Industries Limited,EQ
105,2023-07-28,"Indiabulls Housing board approves raising up to ₹35,000 cr via issue of NCDs and/or bonds

Board approves final dividend of ₹1.25/sh for FY23",Housing Development and Infrastructure Limited,BZ
106,2023-07-28,"Panama Petro reports Q1 earnings (Standalone)

▶️Net profit down 10.5% at ₹30.7 cr vs ₹34 cr (QoQ)
▶️Revenue up 6.1% at ₹399.1 cr vs ₹376 cr (QoQ)
▶️EBITDA down 8.8% at ₹44.3 cr vs ₹48.6 cr (QoQ)
▶️EBITDA margin at 11.1% vs 12.9% (QoQ)",Panama Petrochem Limited,EQ
107,2023-07-28,"Motilal Oswal and Raamdeo Agarawal, promoters of Motilal Oswal Financial Services Ltd, will both donate 5% stake in the company, aggregating to 10% of total paid-up share capital of the company, for charitable purposes",Oswal Chemicals & Fertilizers Limited,EQ
108,2023-07-28,"Supreme Industries reports #Q1 earnings. 

▶️Net profit up 1.3% at  ₹216.5 cr vs ₹214 cr (YoY)
▶️Revenue up 7.4% at  ₹2,368.6 cr vs ₹2,206 cr (YoY)
▶️EBITDA up 19.6% at  ₹321.6 cr vs ₹269 cr (YoY)
▶️EBITDA margin at 13.6% vs 12.2% (YoY)",Supreme Petrochem Limited,EQ
112,2023-07-28,"RVNL bags #order worth ₹1,088 crore from Haryana Rail Infra Development",RVNL,Rail Vikas Nigam Limited
113,2023-07-28,"HT Media reports #Q1 earnings

- Net loss at ₹18.4 cr vs ₹34.5 cr loss (YoY)

- Revenue down 6.4% at ₹393.4 cr vs ₹420.1 cr (YoY)

- EBITDA loss at ₹24.9 cr vs EBITDA loss of ₹29.4 cr (YoY)",HT Media Limited,EQ
114,2023-07-28,"#MarketAtClose | Indiabulls Hsg Fin up more than 6% after bd approves fund raise of up to Rs 35,000 cr

Marico rises more than 3% ahead of Q1 results

Market breadth favours declines, advance-decline ratio at 1",Indiabulls Real Estate Limited,EQ
115,2023-07-28,"RailTel falls more than 5% despite reporting strong Q1 earnings

BEL rises more than 2% on strong Q1 results

Intellect Design snaps 7-day losing streak, surges 20% post Q1 results

Ajanta Pharma ends 3% higher but off highs following Q1 results",BEL,Bharat Electronics Limited
116,2023-07-28,"#Market closes largely lower, financials remain a major drag

Midcap Index outperforms for 2nd straight day, ends 0.3% higher

#Sensex falls 277 points to 65,989 & #Nifty 13 points to 19,646

#NiftyBank falls 211 points to 45,468 & Midcap Index rises 205 pts to 37,357

IT stocks end lower, TCS, HCL Tech top Nifty losers",HCL Infosystems Limited,EQ
118,2023-07-28,"SBI Card reports #Q1 earnings. 

▶️Net profit down 5.4% at ₹593.3 cr vs ₹626.9 cr (YoY)
▶️Revenue up 26.2% at ₹3,911.9 cr vs ₹3,100.3 cr (YoY)",SBI Cards and Payment Services Limited,EQ
119,2023-07-28,"Laxmi Organic Industries reports #Q1 earnings. 

▶️Net profit down 40.5% at ₹38.3 cr vs ₹64.4 cr (YoY)
▶️Revenue down 3% at ₹733.6 cr vs ₹756.6 cr (YoY)
▶️EBITDA down 23% at ₹77.2 cr vs ₹100.3 cr (YoY)
▶️Margin at 10.5% vs 13.3% (YoY)",Laxmi Cotspin Limited,EQ
120,2023-07-28,"Bank Of India reports #Q1 earnings. 

▶️Net profit at ₹1,551.1 cr vs ₹562 cr (YoY)
▶️NII up 45.2% at ₹5,914 cr vs ₹4,072.4 cr (YoY)

▶️Gross NPA at 6.67% vs 7.31% (QoQ)
▶️Net NPA at 1.65% vs 1.66% (QoQ)
▶️Gross NPA at ₹ 34,582 cr vs ₹ 37,685.56 cr (QoQ)
▶️Net NPA at ₹8118.7 cr vs ₹8053.6 cr (QoQ)",Bank of India,EQ
121,2023-07-28,"Hero MotoCorp to close Harley-Davidson online booking window on August 3, 2023",Hero MotoCorp Limited,EQ
123,2023-07-29,"DCB Bank reports #Q1 earnings. 

▶️Net profit up 30.6% at ₹126.9 cr vs ₹97 cr (YoY)
▶️NII up 24.9% at ₹470.7 cr vs ₹374 cr (YoY)

▶️Gross NPA at 3.26% vs 3.19% (QoQ)
▶️Net NPA at 1.19% vs 1.04% (QoQ)
▶️Gross NPA at ₹1,181.4 cr vs ₹1,122.8 cr (QoQ)
▶️Net NPA at ₹423.9 cr vs ₹356.9 cr (QoQ)",DCB Bank Limited,EQ
124,2023-07-29,"Star Health reports #Q1 earnings. 

▶️Net profit up 35% at ₹287.9 cr vs  ₹213.2 cr (YoY)
▶️Gross Premium Written up 19.7% at ₹2,948.6 cr vs ₹2,463.7 cr (YoY)
▶️Net Premium Earned up 13.3% at ₹3,043.8 cr vs 2,687.1 cr (YoY)
▶️Combined ratio at 97.81% vs 91.35% QoQ & vs 98.24% YoY",Star Cement Limited,EQ
125,2023-07-29,"Nazara Tech reports #Q1 earnings. 

▶️Net profit up 72.6% at ₹19.5 cr vs ₹11 cr (YoY)
▶️Revenue up 14% at ₹254.4 cr vs ₹223.1 cr (YoY)
▶️EBITDA up 10% at ₹33 cr vs ₹30 cr (YoY)
▶️Margin at 13% vs 13.5% cr (YoY)",Nazara Technologies Limited,EQ
128,2023-07-29,"NLC India reports #Q1 earnings. 

▶️Net profit down 28% at ₹404.7 cr vs ₹561.8 cr (YoY)
▶️Revenue down 14.1% at ₹3,316.5 cr vs ₹3,862.9 cr (YoY)
▶️EBITDA down 24.4% at ₹1,194.2 cr vs ₹1,580 cr (YoY)
▶️Margin at 36% vs 40.9% (YoY)",Bank of India,EQ
131,2023-07-29,"Indian companies will soon be permitted to directly list securities overseas, says #FinanceMinister",Indian Energy Exchange Limited,EQ
132,2023-07-29,Siemens shareholders vote against the company's proposal to sell low voltage motors and geared motors businesses to Siemens Large Drives India,Bank of India,EQ
134,2023-07-29,"Power Grid board approves fund raise of upto Rs 5,700 cr in FY23-24 in multiple tranches via NCDs, bonds on a private placement basis to part finance its capex requirement",Power Finance Corporation Limited,EQ
136,2023-07-29,"NTPC Q1 Update
-
-Coal Produced from Captive Mines-Commercial up 52.2% at 6.24 mt vs 4.10 mt YoY

-Installed Capacity at 57,038 MW vs 57,119 MW (YoY)",NTPC,NTPC Limited
137,2023-07-31,"#MarketAtClose | Laurus Labs sees buying after earnings, gains more than 4%

UPL & Navin Fluorine close with minor cuts after a weak Q1

Apollo Hospitals is weak ahead of its Q1 earnings, closes 3% lower

GAIL closes in the green but off highs after co misses estimates in Q1",GAIL,GAIL (India) Limited
139,2023-07-31,"Bharti Airtel prepays Rs 8,024 crore to partly clear spectrum dues",Bharti Airtel Limited,EQ
141,2023-08-01,Engineers India bags project worth Rs 837.34 cr from ONGC,ONGC,Oil & Natural Gas Corporation Limited
143,2023-08-01,GAIL results miss estimates but analysts put the spotlight on a sharp rise in gas transmission tariffs,GAIL,GAIL (India) Limited
144,2023-08-01,"Anupam Rasayan Q1

-Net Profit down 2.5% at Rs 38.6 cr vs Rs 39.6 cr (YoY)
-Revenue up 12.4% at Rs 386.3 cr vs Rs 343.6 cr (YoY)
-EBITDA up 2.8% at Rs 101.3 cr vs Rs 98.5 cr (YoY)
-Margin at 26.2% vs 28.7% (YoY)",Anupam Rasayan India Limited,EQ
145,2023-08-01,"L&T Construction bags multiple orders in the range of Rs 2,500-5,000 cr",L&T Finance Holdings Limited,EQ
153,2023-08-01,"Kirloskar Bros Q1

-Net profit at Rs 63.7 cr vs Rs 15.4 cr (YoY)
-Revenue up 14.7% at Rs 899.5 cr Vs Rs 784.1 cr (YoY)
-EBITDA at Rs 110 cr vs Rs 40.8 cr (YoY)
-EBITDA Margin at 12.2% vs 5.2% (YoY)",Kirloskar Electric Company Limited,EQ
155,2023-08-01,#justIN | Steel Strips bags export order for OTR wheels in Oceania Market,Steel Authority of India Limited,EQ
158,2023-08-01,HFCL bags #order worth ₹137 crore from #RelianceRetail,HFCL,HFCL Limited
161,2023-08-01,"Adani Total Gas reports #Q1 earnings. 

▶️Net profit up 8.5% at ₹150.2 cr vs ₹138.4 cr (YoY)
▶️Revenue up 1.3% at ₹1,056.1 cr vs ₹1,042.3 cr (YoY)
▶️EBITDA up 13.3% at ₹247.8 cr vs ₹218.6 cr (YoY)
▶️EBITDA margin at 23.5% vs 21% (YoY)",Adani Total Gas Limited,EQ
161,2023-08-01,"Adani Total Gas reports #Q1 earnings. 

▶️Net profit up 8.5% at ₹150.2 cr vs ₹138.4 cr (YoY)
▶️Revenue up 1.3% at ₹1,056.1 cr vs ₹1,042.3 cr (YoY)
▶️EBITDA up 13.3% at ₹247.8 cr vs ₹218.6 cr (YoY)
▶️EBITDA margin at 23.5% vs 21% (YoY)",Adani Total Gas Limited,EQ
161,2023-08-01,"Adani Total Gas reports #Q1 earnings. 

▶️Net profit up 8.5% at ₹150.2 cr vs ₹138.4 cr (YoY)
▶️Revenue up 1.3% at ₹1,056.1 cr vs ₹1,042.3 cr (YoY)
▶️EBITDA up 13.3% at ₹247.8 cr vs ₹218.6 cr (YoY)
▶️EBITDA margin at 23.5% vs 21% (YoY)",Adani Total Gas Limited,EQ
161,2023-08-01,"Adani Total Gas reports #Q1 earnings. 

▶️Net profit up 8.5% at ₹150.2 cr vs ₹138.4 cr (YoY)
▶️Revenue up 1.3% at ₹1,056.1 cr vs ₹1,042.3 cr (YoY)
▶️EBITDA up 13.3% at ₹247.8 cr vs ₹218.6 cr (YoY)
▶️EBITDA margin at 23.5% vs 21% (YoY)",Adani Total Gas Limited,EQ
